,Symbol,Industry
421,LMW,Capital Goods
422,LTFOODS,Fast Moving Consumer Goods
423,LTIM,Information Technology
424,LANDMARK,Automobile and Auto Components
425,LT,Construction
426,LATENTVIEW,Information Technology
427,LAURUSLABS,Healthcare
428,LXCHEM,Chemicals
429,IXIGO,Consumer Services
430,LEMONTREE,Consumer Services
431,LICI,Financial Services
432,LINDEINDIA,Chemicals
433,LLOYDSENGG,Capital Goods
434,LLOYDSME,Metals & Mining
435,LUPIN,Healthcare
436,LUXIND,Textiles
437,MMTC,Services
438,MOIL,Metals & Mining
439,MRF,Automobile and Auto Components
440,MSTCLTD,Services
441,MTARTECH,Capital Goods
442,LODHA,Realty
443,MGL,Oil Gas & Consumable Fuels
444,MAHSEAMLES,Capital Goods
445,M&MFIN,Financial Services
446,M&M,Automobile and Auto Components
447,MHRIL,Consumer Services
448,MAHLIFE,Realty
449,MAHLOG,Services
450,MAITHANALL,Metals & Mining
451,MANINFRA,Construction
452,MANAPPURAM,Financial Services
453,MRPL,Oil Gas & Consumable Fuels
454,MANKIND,Healthcare
455,MARICO,Fast Moving Consumer Goods
456,MARKSANS,Healthcare
457,MARUTI,Automobile and Auto Components
458,MASTEK,Information Technology
459,MFSL,Financial Services
460,MAXHEALTH,Healthcare
461,MAZDOCK,Capital Goods
462,MEDPLUS,Consumer Services
463,METROBRAND,Consumer Durables
464,METROPOLIS,Healthcare
465,MINDACORP,Automobile and Auto Components
466,MIDHANI,Capital Goods
467,MSUMI,Automobile and Auto Components
468,MOTILALOFS,Financial Services
469,MPHASIS,Information Technology
470,BECTORFOOD,Fast Moving Consumer Goods
471,MCX,Financial Services
472,MUTHOOTFIN,Financial Services
473,MUTHOOTMF,Financial Services
474,NATCOPHARM,Healthcare
475,NBCC,Construction
476,NCC,Construction
477,NEOGEN,Chemicals
478,NESCO,Services
479,NHPC,Power
480,NIITMTS,Consumer Services
481,NLCINDIA,Power
482,NMDC,Metals & Mining
483,NSLNISP,Metals & Mining
484,NOCIL,Chemicals
485,NRBBEARING,Automobile and Auto Components
486,NTPC,Power
487,NH,Healthcare
488,NATIONALUM,Metals & Mining
489,NFL,Chemicals
490,NAVA,Power
491,NAVINFLUOR,Chemicals
492,NAZARA,Media Entertainment & Publication
493,NESTLEIND,Fast Moving Consumer Goods
494,NETWEB,Information Technology
495,NETWORK18,Media Entertainment & Publication
496,NEULANDLAB,Healthcare
497,NEWGEN,Information Technology
498,NAM-INDIA,Financial Services
499,NUVAMA,Financial Services
500,NUVOCO,Construction Materials
501,OBEROIRLTY,Realty
502,ONGC,Oil Gas & Consumable Fuels
